,Hotel_Name,Price,Room_type,Location,City,No. of Reviews,Rating,Distance from centre (km),Breakfast,Cancellation
6148,Super Townhouse Ulsoor Near Halasuru Metro Station,2088,Standard Double Room,"Ulsoor, Bangalore",Banglore,150,7.3,2.7,Not included,Free cancellation
6149,Thyme the Transit,2625,Deluxe Double Room,"Indiranagar, Bangalore",Banglore,78,8.2,4.1,Not included,No Free cancellation
6150,ibis Bengaluru City Centre - An Accor Brand,9500,Standard Twin Room With Extra Benefits,Bangalore,Banglore,0,7.0,1.3,Not included,Free cancellation
6151,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",21000,Twin Room,"MG Road, Bangalore",Banglore,0,8.1,1.6,Breakfast included,No Free cancellation
6152,Hilton Garden Inn Bengaluru Embassy Manyata Business Park,18000,Deluxe King Suite with One-Way Airport Transfer,"Nagavara, Bangalore",Banglore,352,8.3,7.5,Not included,Free cancellation
6153,THE EKAH COMFORTS,1785,Deluxe Double Room with Balcony,Bangalore,Banglore,200,7.7,7.1,Not included,Free cancellation
6154,"ITC Gardenia, a Luxury Collection Hotel, Bengaluru",24500,"Run of the House, Guest room",Bangalore,Banglore,926,8.5,1.2,Breakfast included,No Free cancellation
6155,Octave Himalaya Monarch,1830,Budget Double Room,"Gandhi nagar, Bangalore",Banglore,604,8.2,2.8,Not included,No Free cancellation
6156,HSR Sunrise by Indigostays,1385,Superior Family Room,"HSR Layout, Bangalore",Banglore,5,9.0,9.3,Not included,No Free cancellation
6157,Benaka Suites,3440,One BHK with Kitchen,Bangalore,Banglore,51,7.6,8.3,Breakfast included,No Free cancellation
6158,Golden Chariot 1BHK Flat Manyata Tech Park,1425,One-Bedroom Apartment,Bangalore,Banglore,90,8.2,9.8,Breakfast included,Free cancellation
6159,"Treebo YC Grand Boutique, Electronic City",2349,Standard Double Room,"Electronic City, Bangalore",Banglore,247,7.7,16.0,Breakfast included,No Free cancellation
6160,FabHotel Astra - Electronic City,1994,(Sanitised) Suite,"Electronic City, Bangalore",Banglore,402,7.0,15.0,Not included,No Free cancellation
6161,Rajathadri Royal Inn,3500,Deluxe Double Room,Bangalore,Banglore,19,8.2,12.0,Not included,No Free cancellation
6162,juSTa Off MG Road,7040,Luxury Double Room,"MG Road, Bangalore",Banglore,85,6.9,1.7,Not included,No Free cancellation
6163,Silverkey Hotel Yelahanka,2199,Double or Twin Room,Bangalore,Banglore,12,7.3,14.0,Not included,Free cancellation
6164,Hotel Royal Blooms,2049,Deluxe Double Room,"Whitefield, Bangalore",Banglore,62,7.8,14.0,Not included,No Free cancellation
6165,ASTRA HOTELS & SUITES WHITEFIELD NEAR TO NALLURAHALLI METRO STATION and KTPO,3600,Double Room,"Whitefield, Bangalore",Banglore,195,8.3,13.0,Breakfast included,No Free cancellation
6166,The Cave Lakeside Luxe,1350,One-Bedroom Apartment,"BTM Layout, Bangalore",Banglore,15,8.5,8.0,Not included,No Free cancellation
6167,KINGSTON HOTEL,12453,Superior Double Room,"Rajaji Nagar, Bangalore",Banglore,204,7.6,6.7,Breakfast included,No Free cancellation
6168,Aiden by Best Western Hennur Bengaluru,5750,Superior King Room - Non-Smoking,"HBR Layout, Bangalore",Banglore,40,9.0,8.0,Breakfast included,Free cancellation
6169,Treebo New Plus Point,2054,Deluxe Double Room,"HSR Layout, Bangalore",Banglore,29,7.9,9.8,Breakfast included,No Free cancellation
6170,"ITC Windsor, a Luxury Collection Hotel, Bengaluru",24000,Queen Room - Run of House,Bangalore,Banglore,923,8.4,2.6,Breakfast included,No Free cancellation
6171,FabHotel Valleyton Suites - Mahadevpura,1722,Deluxe Room,"Marathahalli, Bangalore",Banglore,55,6.9,11.0,Not included,No Free cancellation
6172,New Royal homes,1879,One-Bedroom Apartment,Bangalore,Banglore,20,8.2,3.9,Not included,No Free cancellation
6173,Doubletree By Hilton Bengaluru Whitefield,13705,Deluxe King Room,"Brookefield, Bangalore",Banglore,33,9.1,12.0,Not included,Free cancellation
6174,Treebo Cranberry Delight,2075,Standard Double Room,"HBR Layout, Bangalore",Banglore,7,9.3,7.0,Breakfast included,No Free cancellation
6175,"Regenta Place Bangalore, Cunningham Road",4250,Standard Room,"Bangalore Shopping Area, Bangalore",Banglore,170,5.7,0.9,Not included,No Free cancellation
6176,FabHotel Champion Gateway - Yelahanka,2030,Deluxe Room,Bangalore,Banglore,120,7.8,13.0,Not included,Free cancellation
